stock.id,species,stock,region,sub.region,return.yr,catch,escapement,total.returns,harvest.rate
201,Pink,Puyallup,Inside WA,Inside WA,1957,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1958,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1959,"15,802","14,000","29,802",0.53
201,Pink,Puyallup,Inside WA,Inside WA,1960,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1961,"25,300","10,000","35,300",0.72
201,Pink,Puyallup,Inside WA,Inside WA,1962,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1963,"105,090","10,221","115,311",0.91
201,Pink,Puyallup,Inside WA,Inside WA,1964,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1965,"10,497","25,131","35,628",0.29
201,Pink,Puyallup,Inside WA,Inside WA,1966,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1967,"18,239","22,038","40,277",0.45
201,Pink,Puyallup,Inside WA,Inside WA,1968,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1969,"6,865","16,003","22,868",0.3
201,Pink,Puyallup,Inside WA,Inside WA,1970,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1971,"23,066","40,000","63,066",0.37
201,Pink,Puyallup,Inside WA,Inside WA,1972,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1973,"19,403","12,194","31,597",0.61
201,Pink,Puyallup,Inside WA,Inside WA,1974,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1975,"23,712","11,800","35,512",0.67
201,Pink,Puyallup,Inside WA,Inside WA,1976,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1977,"25,762","29,429","55,191",0.47
201,Pink,Puyallup,Inside WA,Inside WA,1978,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1979,"72,896","29,481","102,377",0.71
201,Pink,Puyallup,Inside WA,Inside WA,1980,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1981,"21,902","12,115","34,017",0.64
201,Pink,Puyallup,Inside WA,Inside WA,1982,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1983,"13,741","11,600","25,341",0.54
201,Pink,Puyallup,Inside WA,Inside WA,1984,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1985,"19,673","34,100","53,773",0.37
201,Pink,Puyallup,Inside WA,Inside WA,1986,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1987,"11,380","34,400","45,780",0.25
201,Pink,Puyallup,Inside WA,Inside WA,1988,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1989,"59,019","49,850","108,869",0.54
201,Pink,Puyallup,Inside WA,Inside WA,1990,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1991,"9,354","14,000","23,354",0.4
201,Pink,Puyallup,Inside WA,Inside WA,1992,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1993,"2,768","10,069","12,837",0.22
201,Pink,Puyallup,Inside WA,Inside WA,1994,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1995,"7,800","17,596","25,396",0.31
201,Pink,Puyallup,Inside WA,Inside WA,1996,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1997,499,"2,732","3,231",0.15
201,Pink,Puyallup,Inside WA,Inside WA,1998,,,,
201,Pink,Puyallup,Inside WA,Inside WA,1999,78,"4,653","4,731",0.02
201,Pink,Puyallup,Inside WA,Inside WA,2000,,,,
201,Pink,Puyallup,Inside WA,Inside WA,2001,578,"16,577","17,155",0.03
201,Pink,Puyallup,Inside WA,Inside WA,2002,,,,
201,Pink,Puyallup,Inside WA,Inside WA,2003,"5,696","191,515","197,211",0.03
201,Pink,Puyallup,Inside WA,Inside WA,2004,,,,
201,Pink,Puyallup,Inside WA,Inside WA,2005,"3,392","287,230","290,622",0.01
201,Pink,Puyallup,Inside WA,Inside WA,2006,,,,
201,Pink,Puyallup,Inside WA,Inside WA,2007,"10,272","417,767","428,039",0.02
202,Pink,Hood Canal,Inside WA,Inside WA,1957,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1958,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1959,"14,707","30,500","45,207",0.33
202,Pink,Hood Canal,Inside WA,Inside WA,1960,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1961,"7,588","36,800","44,388",0.17
202,Pink,Hood Canal,Inside WA,Inside WA,1962,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1963,"398,536","503,000","901,536",0.44
202,Pink,Hood Canal,Inside WA,Inside WA,1964,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1965,"57,872","160,000","217,872",0.27
202,Pink,Hood Canal,Inside WA,Inside WA,1966,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1967,"196,405","269,000","465,405",0.42
202,Pink,Hood Canal,Inside WA,Inside WA,1968,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1969,"16,604","42,000","58,604",0.28
202,Pink,Hood Canal,Inside WA,Inside WA,1970,,,,
202,Pink,Hood Canal,Inside WA,Inside WA,1971,"34,686","104,000","138,686",0.25
202,Pink,Hood Canal,Inside WA,Inside WA,1972,,,,
